critic/q_loss,critic/q_mean,critic/q_max,critic/q_min,actor/total_loss,actor/q_loss,actor/bc_loss,actor/entropy_loss,actor/mse,beta/beta_loss,beta/beta,encoder/encoder_loss,encoder/dot_mean,encoder/log_dot_mean,encoder/kl_target_mean,encoder/nll_raw_mean,step
452.5390625,-0.01119971927255392,0.09357224404811859,-0.108396515250206,-1.5354366302490234,-0.16842180490493774,9.694526672363281,-11.061541557312012,0.37805336713790894,19.46450424194336,0.9997000694274902,0.1948857605457306,0.9868152141571045,-0.006635041441768408,-0.4479166269302368,8.958333015441895,0
23.37795066833496,59.94200134277344,59.9445915222168,59.93943405151367,-65.71942138671875,-59.964508056640625,-8.59316635131836,2.8382575511932373,0.08293795585632324,4.0040788650512695,0.7982324361801147,0.0007686467724852264,0.999650776386261,-0.00017464972916059196,-0.002876111539080739,-8.877680778503418,1000
8.7737455368042,87.60911560058594,87.61302185058594,87.60530853271484,-94.52738189697266,-87.65872192382812,-11.354342460632324,4.48568058013916,0.06483782082796097,1.0162744522094727,0.6930383443832397,8.103124855551869e-06,0.999647855758667,-0.00017610937356948853,-0.0001781027385732159,-11.853872299194336,2000
11.15373420715332,109.6908187866211,109.69252014160156,109.68899536132812,-117.15222930908203,-109.69383239746094,-12.531759262084961,5.073365688323975,0.062431659549474716,0.23461101949214935,0.6407776474952698,5.204763908750465e-08,0.9996238350868225,-0.00018808263121172786,0.0,-13.08895492553711,3000
11.626775741577148,128.4566650390625,128.49481201171875,128.41818237304688,-135.2755584716797,-128.4239501953125,-12.153078079223633,5.301465034484863,0.06423894315958023,0.38792678713798523,0.6280493140220642,0.01201582606881857,0.9995626211166382,-0.00021869617921765894,-0.0076004997827112675,-12.684141159057617,4000
8.366414070129395,145.55136108398438,145.5642547607422,145.5385284423828,-152.6339569091797,-145.60203552246094,-12.864602088928223,5.832682132720947,0.055982399731874466,0.1204213872551918,0.6408308744430542,0.0003386577882338315,0.9993685483932495,-0.00031580484937876463,-0.001519981655292213,-13.542179107666016,5000
8.182098388671875,161.4781494140625,161.48460388183594,161.47085571289062,-168.95094299316406,-161.44967651367188,-13.256011009216309,5.7547407150268555,0.056654833257198334,-0.13266730308532715,0.651679515838623,4.655096859096375e-07,0.9988653659820557,-0.0005675193970091641,0.0,-14.228940963745117,6000
12.529767990112305,175.99758911132812,177.17041015625,168.91676330566406,-182.6282501220703,-175.41600036621094,-12.50596809387207,5.293712139129639,0.062173452228307724,0.33874377608299255,0.6609723567962646,1.2067223906342406e-05,0.9986662268638611,-0.0006672039162367582,-0.0002808856079354882,-13.61076831817627,7000
9.680581092834473,187.05213928222656,188.8920135498047,156.08914184570312,-193.064208984375,-186.06082153320312,-13.20151138305664,6.198121547698975,0.05410364270210266,-0.49688494205474854,0.6567679047584534,2.589682992493181e-07,0.9991481304168701,-0.00042607332579791546,0.0,-14.49624252319336,8000
23.133399963378906,195.1141815185547,197.54547119140625,153.65576171875,-200.8157958984375,-193.90286254882812,-12.636515617370605,5.723581314086914,0.060563888400793076,-0.20599815249443054,0.6651721000671387,0.0008568961056880653,0.9990854263305664,-0.00045742077054455876,-0.0030817976221442223,-13.853971481323242,9000
16.02865982055664,203.4607391357422,206.02389526367188,194.63275146484375,-209.13082885742188,-202.2364959716797,-12.811211585998535,5.91688871383667,0.058716922998428345,-0.2086094170808792,0.6682147979736328,0.0006252249586395919,0.9983510971069336,-0.0008249611128121614,-0.0019222577102482319,-14.236595153808594,10000
33.009979248046875,211.67669677734375,214.49398803710938,162.41900634765625,-217.0281982421875,-210.50436401367188,-12.143731117248535,5.619899272918701,0.057340797036886215,0.31289204955101013,0.6677188873291016,0.0002302303910255432,0.9985853433609009,-0.0007077164482325315,-0.0017360448837280273,-13.487335205078125,11000
25.002490997314453,218.87258911132812,222.08250427246094,165.52996826171875,-224.7456512451172,-217.76449584960938,-12.363994598388672,5.382835865020752,0.06004819646477699,-0.03519020229578018,0.6618150472640991,7.108096178853884e-05,0.9986311793327332,-0.0006847964832559228,-0.0005409467848949134,-13.92519760131836,12000
207.03378295898438,223.6761474609375,227.6341552734375,167.73565673828125,-228.3026885986328,-221.70230102539062,-12.620901107788086,6.020511627197266,0.057122476398944855,-0.10051031410694122,0.6657122373580933,0.00014251032553147525,0.9988529086112976,-0.0005738186300732195,-0.0009998088935390115,-14.337103843688965,13000
54.57433319091797,230.3358917236328,233.89431762695312,171.49317932128906,-235.27288818359375,-228.5909881591797,-12.761353492736816,6.079458236694336,0.054468173533678055,-0.43970295786857605,0.6676660776138306,2.8507542083389126e-05,0.9990819692611694,-0.0004591700853779912,-0.0003364445292390883,-14.680889129638672,14000
180.88453674316406,236.11380004882812,239.01406860351562,164.9288787841797,-241.21075439453125,-234.81475830078125,-12.343545913696289,5.94755220413208,0.058644842356443405,0.1290256232023239,0.662306010723114,0.00030356465140357614,0.9992063045501709,-0.0003969857352785766,-0.001088852877728641,-14.201505661010742,15000
21.853261947631836,243.15298461914062,246.4033203125,155.7527313232422,-248.59982299804688,-242.0819091796875,-12.379425048828125,5.86151123046875,0.058547209948301315,-0.21854732930660248,0.6618800163269043,7.779925113027275e-07,0.9986507892608643,-0.0006750141619704664,0.0,-14.238393783569336,16000
60.6279296875,251.12261962890625,253.93995666503906,114.2667236328125,-256.1589050292969,-250.0377655029297,-11.386022567749023,5.264888286590576,0.059592485427856445,0.4727589190006256,0.6566402912139893,0.0024780770763754845,0.9976139068603516,-0.001194262527860701,-0.003589086001738906,-13.430610656738281,17000
39.0072021484375,258.00775146484375,260.84185791015625,128.05848693847656,-263.2585144042969,-256.9100341796875,-11.227907180786133,4.879427433013916,0.06295637786388397,0.5991010069847107,0.6569644212722778,0.00019501727365422994,0.9986533522605896,-0.0006736578652635217,-0.0012422598665580153,-13.456527709960938,18000
274.1401062011719,264.1540832519531,267.11669921875,144.45260620117188,-269.1263427734375,-262.9383239746094,-11.647836685180664,5.459798812866211,0.06261903047561646,0.29500460624694824,0.6598873734474182,0.0007605575956404209,0.9990535974502563,-0.000473381660412997,-0.002598630264401436,-13.849245071411133,19000
1637.378662109375,264.3475341796875,268.84515380859375,-259.9974365234375,-266.6709899902344,-260.34234619140625,-11.607813835144043,5.279178142547607,0.05760030075907707,0.18598224222660065,0.6510680317878723,0.00024763698456808925,0.9988988637924194,-0.0005508085596375167,-0.0013633565977215767,-14.156756401062012,20000
54.158363342285156,276.2799072265625,279.4228210449219,270.3453674316406,-281.4561462402344,-275.67364501953125,-11.350762367248535,5.568268775939941,0.05827821046113968,0.14516319334506989,0.6535981297492981,0.0008470123284496367,0.9985870718955994,-0.0007068781415000558,-0.0023861206136643887,-13.957353591918945,21000
10.747657775878906,284.0289306640625,287.2928161621094,278.3799743652344,-289.62567138671875,-283.41375732421875,-11.600521087646484,5.38862419128418,0.0609341524541378,0.04409691318869591,0.6469089984893799,0.00017037798534147441,0.9985147714614868,-0.0007430239347741008,-0.0008159969002008438,-14.135418891906738,22000
58.42882537841797,292.56787109375,296.7158508300781,53.622737884521484,-297.99945068359375,-292.05084228515625,-11.216508865356445,5.267917156219482,0.05881142616271973,0.2993974983692169,0.647268533706665,0.00048249971587210894,0.9983706474304199,-0.000815181527286768,-0.0019461025949567556,-14.043737411499023,23000
90.12242889404297,301.116943359375,307.8765563964844,83.43712615966797,-305.40936279296875,-299.228515625,-11.644402503967285,5.46356725692749,0.05705154314637184,-0.16293558478355408,0.6407446265220642,2.6607801828504307e-06,0.9974642992019653,-0.0012691280571743846,-2.800798938551452e-05,-14.657718658447266,24000
150.5052032470703,310.9691162109375,316.7337341308594,-165.25013732910156,-316.383056640625,-310.5972900390625,-11.069774627685547,5.284003257751465,0.06202390044927597,0.031071780249476433,0.6371881365776062,0.0014633878599852324,0.9953386783599854,-0.002338854828849435,-0.0029398277401924133,-13.971956253051758,25000
11.044502258300781,327.0948486328125,327.49420166015625,319.7022705078125,-332.750732421875,-326.672607421875,-11.481720924377441,5.403588771820068,0.05768243595957756,-0.21219883859157562,0.6307728290557861,4.577331935706752e-08,0.9996365904808044,-0.00018172390991821885,0.0,-14.383487701416016,26000
12.228687286376953,335.6993103027344,336.5394592285156,310.2755126953125,-340.8370056152344,-335.12567138671875,-11.399190902709961,5.687860012054443,0.053343430161476135,0.04807715490460396,0.6316103935241699,2.367871729802573e-06,0.9998391270637512,-8.042815898079425e-05,-9.634748857934028e-05,-14.473739624023438,27000
10.054101943969727,341.1929931640625,342.4965515136719,15.324996948242188,-347.0704040527344,-341.22454833984375,-10.834213256835938,4.988379001617432,0.060381390154361725,0.3719820976257324,0.6301326751708984,2.1294156340445625e-06,0.9998545050621033,-7.274700328707695e-05,-9.131646947935224e-05,-13.828775405883789,28000
50.11602020263672,353.0540771484375,353.9366455078125,233.65133666992188,-359.1176452636719,-352.8658752441406,-11.268047332763672,5.016252040863037,0.05642662197351456,-0.24436262249946594,0.5630357265472412,7.283725426532328e-05,0.9998517036437988,-7.415537402266636e-05,-0.0005334480083547533,-14.724908828735352,29000
77.0689697265625,358.625,359.6233825683594,64.5602035522461,-363.6386413574219,-357.9433898925781,-11.094544410705566,5.399288177490234,0.05636395141482353,-0.28168541193008423,0.6109516024589539,0.0002595760452095419,0.9998496770858765,-7.513209129683673e-05,-0.0012406583409756422,-14.612079620361328,30000
18.227001190185547,364.6229248046875,367.659912109375,84.79813385009766,-369.95123291015625,-364.1921081542969,-10.995721817016602,5.236615180969238,0.060461170971393585,-0.0726165920495987,0.6025779843330383,0.0006911509553901851,0.99985271692276,-7.364211342064664e-05,-0.002377912402153015,-14.57738208770752,31000
10.857524871826172,373.44781494140625,373.640869140625,369.73138427734375,-379.02593994140625,-373.327392578125,-10.67277717590332,4.97425651550293,0.06005880609154701,0.18450111150741577,0.6024313569068909,0.0023717174772173166,0.9998564720153809,-7.174594793468714e-05,-0.0032725706696510315,-14.12491226196289,32000
111.54788208007812,377.125,380.5433349609375,64.15632629394531,-382.99755859375,-377.3365783691406,-10.221312522888184,4.560333251953125,0.06393027305603027,0.1818123161792755,0.590867280960083,0.004630452021956444,0.9998633861541748,-6.830999336671084e-05,-0.00936981476843357,-13.602360725402832,33000
10.428267478942871,387.8305969238281,387.9189758300781,387.10345458984375,-393.4183654785156,-387.79058837890625,-10.63184642791748,5.004066467285156,0.057539891451597214,-0.09574408084154129,0.5913683176040649,0.00045156129635870457,0.9998499751091003,-7.501836807932705e-05,-0.001328412676230073,-14.530069351196289,34000
30.121906280517578,391.3038330078125,395.0733642578125,91.1214599609375,-395.71697998046875,-390.20269775390625,-10.221506118774414,4.707217216491699,0.06359643489122391,0.19869887828826904,0.5888570547103882,0.002957998774945736,0.999866247177124,-6.687799759674817e-05,-0.004850728437304497,-13.860706329345703,35000
14.267513275146484,396.26324462890625,400.35687255859375,134.8911895751953,-401.2348327636719,-396.0286865234375,-9.86938762664795,4.663236618041992,0.0615028440952301,0.3736515939235687,0.5902715921401978,0.0016152448952198029,0.9998565316200256,-7.174156053224578e-05,-0.0025126629043370485,-13.518798828125,36000
82.44847106933594,400.38720703125,408.3411560058594,158.57228088378906,-404.80419921875,-399.53656005859375,-10.387349128723145,5.119725227355957,0.05887757986783981,-0.12867222726345062,0.5886807441711426,0.0036036320962011814,0.999858021736145,-7.100547372829169e-05,-0.005979449953883886,-14.353371620178223,37000
178.202880859375,408.6040954589844,417.05145263671875,250.40338134765625,-411.6019287109375,-406.0873718261719,-10.007916450500488,4.4933600425720215,0.06068120151758194,0.24379491806030273,0.5840809941291809,0.0057859038934111595,0.9998643398284912,-6.783675053156912e-05,-0.008141366764903069,-14.124505043029785,38000
22.94093132019043,411.9149169921875,422.2732849121094,113.11519622802734,-416.0948181152344,-410.8965759277344,-10.003667831420898,4.805428981781006,0.05679319053888321,0.14832554757595062,0.582019031047821,0.005564000923186541,0.999861478805542,-6.923666660441086e-05,-0.006458017975091934,-13.944873809814453,39000
110.29682159423828,418.68841552734375,429.336669921875,76.96989440917969,-423.5628967285156,-418.516357421875,-9.698945045471191,4.6523919105529785,0.05946219712495804,0.17180967330932617,0.570038378238678,0.001787256565876305,0.9998468160629272,-7.659426773898304e-05,-0.0035798102617263794,-13.629837036132812,40000
15.538814544677734,429.6039123535156,437.2550048828125,263.41119384765625,-434.2616882324219,-429.10797119140625,-9.527170181274414,4.373440742492676,0.06458170711994171,0.0435878150165081,0.568936288356781,0.012457630597054958,0.999847412109375,-7.630361506016925e-05,-0.00697607547044754,-13.78736686706543,41000
27.01845932006836,437.8288269042969,445.34539794921875,362.413818359375,-442.46759033203125,-437.9029541015625,-8.054966926574707,3.490312337875366,0.07187045365571976,0.6945689916610718,0.5536318421363831,0.019451607018709183,0.9998459815979004,-7.699435809627175e-05,-0.0087169473990798,-11.690832138061523,42000
23.14362335205078,447.864990234375,453.8076171875,417.4163818359375,-448.8177185058594,-443.78741455078125,-9.911980628967285,4.881676197052002,0.05906873568892479,0.026288527995347977,0.5618901252746582,8.324460232245201e-09,0.9998518228530884,-7.411159458570182e-05,0.0,-14.177520751953125,43000
90.6046142578125,453.5208435058594,461.4621887207031,411.4520568847656,-457.7468566894531,-452.5745849609375,-9.933355331420898,4.761067867279053,0.060146793723106384,0.05869431421160698,0.5557838678359985,0.004549114499241114,0.9998377561569214,-8.111180795822293e-05,-0.004215627443045378,-14.245884895324707,44000
