critic/q_loss,critic/q_mean,critic/q_max,critic/q_min,actor/total_loss,actor/q_loss,actor/bc_loss,actor/entropy_loss,actor/mse,beta/beta_loss,beta/beta,encoder/encoder_loss,encoder/dot_mean,encoder/kl_target_mean,encoder/nll_raw_mean,step
452.5390625,-0.01119971927255392,0.09357224404811859,-0.108396515250206,-1.5354366302490234,-0.16842180490493774,9.694526672363281,-11.061541557312012,0.37805336713790894,19.46450424194336,0.9997000694274902,16.991546630859375,3.694337844848633,-0.4201442003250122,8.958333015441895,0
24.70687484741211,59.79766845703125,59.79887008666992,59.79274368286133,-65.76473236083984,-59.82212448120117,-8.941431999206543,2.998821973800659,0.08275564014911652,3.9146957397460938,0.7985671758651733,0.19415348768234253,0.8195242881774902,0.4090369939804077,-8.97406005859375,1000
9.465875625610352,87.47935485839844,87.48057556152344,87.47806549072266,-94.55229949951172,-87.54261779785156,-11.348653793334961,4.3389763832092285,0.06593157351016998,1.1850374937057495,0.6930598020553589,0.036096226423978806,0.3933703303337097,0.5114427208900452,-11.636910438537598,2000
10.298022270202637,109.5841064453125,109.58415222167969,109.58402252197266,-117.3670425415039,-109.5914306640625,-12.669529914855957,4.893919467926025,0.06379774957895279,0.46460846066474915,0.6413264274597168,0.023803342133760452,0.5011230707168579,0.5552151799201965,-12.879487991333008,3000
240.51199340820312,128.65792846679688,128.6580047607422,128.65780639648438,-136.04258728027344,-128.64089965820312,-12.571636199951172,5.16995096206665,0.06416483968496323,0.4902980327606201,0.6277512311935425,0.034145720303058624,0.5894631743431091,0.545097827911377,-12.653646469116211,4000
8.221899032592773,145.72865295410156,145.7303466796875,145.72694396972656,-153.5015106201172,-145.7818603515625,-13.650432586669922,5.930793285369873,0.05549256131052971,-0.01736343279480934,0.6412785053253174,0.027031250298023224,0.604387640953064,0.5793730020523071,-13.716249465942383,5000
8.429664611816406,161.5439453125,161.54443359375,161.54345703125,-169.61141967773438,-161.50735473632812,-13.918329238891602,5.814262390136719,0.056162577122449875,-0.1436476707458496,0.654567301273346,0.019704274833202362,0.5828134417533875,0.5949556827545166,-14.20215892791748,6000
12.204626083374023,176.21656799316406,176.2173309326172,176.21591186523438,-184.18707275390625,-176.24624633789062,-13.320560455322266,5.379725456237793,0.06199266016483307,0.2116570919752121,0.6644206643104553,0.023937780410051346,0.565329909324646,0.5802739262580872,-13.796684265136719,7000
8.529569625854492,190.02484130859375,190.95477294921875,188.58265686035156,-197.2868194580078,-189.45794677734375,-13.933051109313965,6.1041717529296875,0.05519029125571251,-0.38421955704689026,0.6558749675750732,0.019075967371463776,0.5814833045005798,0.59935462474823,-14.323375701904297,8000
11.819814682006836,202.49005126953125,202.49659729003906,202.4835662841797,-210.2548370361328,-202.43008422851562,-13.567272186279297,5.742524147033691,0.060012467205524445,-0.1829356700181961,0.667863667011261,0.030240848660469055,0.5602751970291138,0.5800527930259705,-13.81959342956543,9000
11.407439231872559,214.65972900390625,214.6636962890625,214.65585327148438,-222.5923309326172,-214.65185546875,-13.943992614746094,6.0035319328308105,0.05844337120652199,-0.25081801414489746,0.6685439348220825,0.025204729288816452,0.5868176221847534,0.5939980745315552,-14.270514488220215,10000
12.05918025970459,226.83236694335938,226.83279418945312,226.83200073242188,-234.43936157226562,-226.75439453125,-13.500432968139648,5.815455436706543,0.056523118168115616,0.1923365443944931,0.6711840629577637,0.02847381681203842,0.5977619290351868,0.5734056234359741,-13.652694702148438,11000
8.868309020996094,238.01889038085938,238.02035522460938,238.01744079589844,-246.2803497314453,-238.0173797607422,-13.537135124206543,5.274169921875,0.05928822234272957,0.15288959443569183,0.6620081067085266,0.02111194096505642,0.5983984470367432,0.5775125026702881,-13.688634872436523,12000
243.24102783203125,248.03897094726562,248.0553741455078,248.0224609375,-255.93124389648438,-247.96237182617188,-13.854443550109863,5.885556221008301,0.05766106769442558,0.04032942280173302,0.6664162278175354,0.0203888937830925,0.6037339568138123,0.5940133333206177,-14.15324592590332,13000
10.998495101928711,258.38580322265625,258.3878173828125,258.3837890625,-266.42156982421875,-258.343017578125,-14.234638214111328,6.156093597412109,0.05457053333520889,-0.45328786969184875,0.6679449081420898,0.02208494395017624,0.5632238984107971,0.608539342880249,-14.720406532287598,14000
279.2105407714844,267.67144775390625,267.671630859375,267.6712341308594,-275.5337219238281,-267.6458435058594,-14.074655532836914,6.186756134033203,0.05710669234395027,-0.033867888152599335,0.6672049164772034,0.02783934585750103,0.5901321172714233,0.594907283782959,-14.404047012329102,15000
15.141180038452148,275.078857421875,277.9060974121094,268.5500183105469,-282.0999450683594,-273.9937744140625,-13.785269737243652,5.6791181564331055,0.05902158468961716,-0.06737884134054184,0.6619846224784851,0.019350364804267883,0.5746359825134277,0.5894244909286499,-14.05337142944336,16000
12.456847190856934,280.6672668457031,282.6898193359375,270.14959716796875,-287.68792724609375,-279.82861328125,-13.151309967041016,5.292001724243164,0.05898269638419151,0.2819814682006836,0.649575412273407,0.024409417062997818,0.5717935562133789,0.5745425224304199,-13.672861099243164,17000
14.792807579040527,284.173095703125,286.65008544921875,271.8986511230469,-291.2293701171875,-283.1278076171875,-13.034096717834473,4.932529449462891,0.06180426850914955,0.5052323937416077,0.6576910018920898,0.022368762642145157,0.5703840255737305,0.574004054069519,-13.61468505859375,18000
311.0443115234375,288.94891357421875,291.26055908203125,273.92974853515625,-295.6732482910156,-287.6231994628906,-13.547508239746094,5.49746561050415,0.061325643211603165,0.32679077982902527,0.6598787903785706,0.023103665560483932,0.5816844701766968,0.5811168551445007,-13.836825370788574,19000
13.661759376525879,293.76251220703125,295.9188232421875,276.3379211425781,-301.0804748535156,-292.78521728515625,-13.568105697631836,5.272860527038574,0.057586003094911575,0.23685917258262634,0.651917040348053,0.018477855250239372,0.594390332698822,0.5916938781738281,-14.11338996887207,20000
15.98930835723877,297.5616455078125,299.8260192871094,277.470703125,-304.22552490234375,-296.4668273925781,-13.246381759643555,5.487669467926025,0.05885288491845131,0.2818674147129059,0.650783360004425,0.02308228611946106,0.6159218549728394,0.5762796998023987,-13.62547779083252,21000
10.1883544921875,303.9879150390625,305.76568603515625,291.6278076171875,-311.6647033691406,-303.29803466796875,-13.61445426940918,5.247786521911621,0.062194809317588806,0.14313147962093353,0.6467471718788147,0.019756179302930832,0.6037915945053101,0.5871979594230652,-13.99338150024414,22000
82.85572052001953,311.4169921875,313.3950500488281,99.7440414428711,-318.0633850097656,-309.92529296875,-13.458807945251465,5.320714950561523,0.05771626532077789,0.2727101147174835,0.6477316617965698,0.021345656365156174,0.5902732014656067,0.587356686592102,-14.045567512512207,23000
13.416629791259766,317.3729248046875,318.4521484375,306.3845520019531,-324.99505615234375,-316.4921569824219,-14.078861236572266,5.575967788696289,0.05720268189907074,-0.1876755803823471,0.6435397863388062,0.02118486724793911,0.6021395921707153,0.6054718494415283,-14.686803817749023,24000
102.8664779663086,323.67718505859375,324.9602355957031,92.59352111816406,-331.2236022949219,-322.97967529296875,-13.388198852539062,5.1442646980285645,0.06240193918347359,0.21000365912914276,0.6392671465873718,0.025810549035668373,0.6186079978942871,0.576582670211792,-13.737736701965332,25000
11.903277397155762,330.6558837890625,330.7452697753906,330.5635986328125,-339.2172546386719,-330.59368896484375,-13.974601745605469,5.351034164428711,0.05779072642326355,-0.14073726534843445,0.6329829692840576,0.01697417162358761,0.6284617781639099,0.5959017872810364,-14.277885437011719,26000
10.333841323852539,336.3267822265625,337.67193603515625,330.84405517578125,-343.783203125,-335.42193603515625,-13.952813148498535,5.591566562652588,0.05441446974873543,0.21191450953483582,0.6342598795890808,0.014915738254785538,0.6125301122665405,0.5999338626861572,-14.341447830200195,27000
25.602516174316406,341.894775390625,344.5438232421875,265.87298583984375,-349.4090881347656,-340.909423828125,-13.425711631774902,4.926048278808594,0.060537297278642654,0.31666889786720276,0.628697395324707,0.020538507029414177,0.598534345626831,0.5856927633285522,-13.934049606323242,28000
11.155350685119629,346.8502197265625,347.0631103515625,346.6503601074219,-355.0456848144531,-346.68145751953125,-13.693268775939941,5.329031467437744,0.05708280950784683,0.14319190382957458,0.6199979782104492,0.02104535885155201,0.5673624277114868,0.5946734547615051,-14.354995727539062,29000
9.431838989257812,352.25006103515625,352.5721435546875,351.9355163574219,-360.3371276855469,-351.954345703125,-13.818634986877441,5.435857772827148,0.05510479956865311,-0.21543025970458984,0.6216261386871338,0.022163979709148407,0.5818885564804077,0.6042494177818298,-14.621769905090332,30000
44.338600158691406,356.3685302734375,359.132568359375,185.13909912109375,-364.02056884765625,-355.5182800292969,-13.827940940856934,5.325660228729248,0.05923166126012802,-0.08393864333629608,0.6200525760650635,0.024038907140493393,0.58527672290802,0.6046229004859924,-14.722887992858887,31000
13.39875602722168,362.03912353515625,363.3663635253906,360.8034973144531,-369.2692565917969,-360.86566162109375,-13.371770858764648,4.96816873550415,0.06132287159562111,0.19984354078769684,0.6109738945960999,0.029781445860862732,0.5739455223083496,0.5880003571510315,-14.15709114074707,32000
459.6063232421875,364.1624755859375,367.2196044921875,158.67787170410156,-370.43896484375,-361.98828125,-13.19875717163086,4.748079776763916,0.06156398355960846,0.09096125513315201,0.6044779419898987,0.033265940845012665,0.5750362277030945,0.5755226016044617,-13.823919296264648,33000
16.150596618652344,370.9737243652344,373.7392272949219,354.5272216796875,-378.4462585449219,-369.9066467285156,-13.601163864135742,5.061563968658447,0.05844579637050629,-0.014689646661281586,0.6089267730712891,0.020504876971244812,0.5954800844192505,0.5997064113616943,-14.475486755371094,34000
10.317117691040039,380.1114501953125,382.1705627441406,139.90235900878906,-388.4107360839844,-379.8942565917969,-13.341167449951172,4.824686050415039,0.061021868139505386,0.12185075879096985,0.5984853506088257,0.01893104985356331,0.576542317867279,0.5914465188980103,-14.123958587646484,35000
95.16071319580078,387.2651062011719,390.3129577636719,118.03904724121094,-394.6302795410156,-386.2772216796875,-13.357124328613281,5.00406551361084,0.05984305590391159,0.10441968590021133,0.5998104214668274,0.01803874596953392,0.5806648135185242,0.5936373472213745,-14.174125671386719,36000
83.8219223022461,395.3082275390625,396.4655456542969,220.82566833496094,-403.18109130859375,-394.75439453125,-13.587139129638672,5.160417556762695,0.057282283902168274,-0.066318079829216,0.593534529209137,0.025808820500969887,0.5629532933235168,0.5981980562210083,-14.49470329284668,37000
40.51919174194336,403.08056640625,405.41070556640625,137.4046630859375,-411.04962158203125,-402.1822509765625,-13.497501373291016,4.630123615264893,0.05740157142281532,0.1635669320821762,0.5943604111671448,0.02482244186103344,0.5839336514472961,0.5989890694618225,-14.493815422058105,38000
12.352946281433105,407.3863525390625,411.0380554199219,115.53421020507812,-415.20574951171875,-406.73907470703125,-13.320413589477539,4.853719711303711,0.055788349360227585,0.30112189054489136,0.5935333371162415,0.025720877572894096,0.5869827270507812,0.5821300745010376,-13.881736755371094,39000
317.9306640625,411.37738037109375,415.1637878417969,131.90086364746094,-418.9776306152344,-410.43609619140625,-13.47972297668457,4.938211917877197,0.05646854266524315,-0.0006108529632911086,0.5807530283927917,0.01824740134179592,0.5839477777481079,0.595011830329895,-14.200578689575195,40000
