critic/q_loss,critic/q_mean,critic/q_max,critic/q_min,actor/total_loss,actor/q_loss,actor/bc_loss,actor/entropy_loss,actor/mse,beta/beta_loss,beta/beta,step
452.5390625,-0.01119971927255392,0.09357224404811859,-0.108396515250206,-1.5354366302490234,-0.16842180490493774,9.694526672363281,-11.061541557312012,0.37805336713790894,19.372241973876953,0.9997000694274902,0
20.432783126831055,59.623931884765625,59.624000549316406,59.623497009277344,-65.56385803222656,-59.639503479003906,-8.783468246459961,2.859114646911621,0.08001250773668289,3.636610507965088,0.7993690967559814,1000
9.998420715332031,86.57462310791016,86.57679748535156,86.57243347167969,-93.67330169677734,-86.60647583007812,-11.497024536132812,4.430200099945068,0.06660998612642288,1.4886441230773926,0.6973758339881897,2000
11.340385437011719,108.06005859375,108.06304168701172,108.05707550048828,-115.36284637451172,-108.05401611328125,-12.950151443481445,5.641315937042236,0.058846067637205124,-0.12396551668643951,0.6497190594673157,3000
233.73074340820312,126.02775573730469,126.02855682373047,126.02693939208984,-133.35691833496094,-125.9827880859375,-12.81049633026123,5.436371803283691,0.061588969081640244,0.32089149951934814,0.6430482268333435,4000
8.862614631652832,142.01580810546875,142.01675415039062,142.0148468017578,-149.8643341064453,-142.06631469726562,-13.928506851196289,6.130494117736816,0.058825865387916565,-0.22551222145557404,0.6680733561515808,5000
9.012116432189941,156.66201782226562,156.6663360595703,156.6577606201172,-164.56719970703125,-156.62620544433594,-14.083232879638672,6.142250061035156,0.059418413788080215,-0.35386621952056885,0.6895837187767029,6000
13.495570182800293,169.64495849609375,169.64508056640625,169.64483642578125,-177.31431579589844,-169.68167114257812,-13.531442642211914,5.8988037109375,0.06043463572859764,0.14927755296230316,0.7099589109420776,7000
9.100896835327148,181.7952880859375,181.7952880859375,181.79525756835938,-189.5797882080078,-181.7884063720703,-13.877519607543945,6.086130142211914,0.06051111966371536,-0.25016316771507263,0.7111603021621704,8000
12.631028175354004,192.92599487304688,192.92599487304688,192.9259796142578,-200.46458435058594,-192.88279724121094,-13.769865989685059,6.188085556030273,0.06015454977750778,0.05023936182260513,0.7257745862007141,9000
14.925530433654785,202.97821044921875,202.97853088378906,202.9779052734375,-210.20101928710938,-202.98309326171875,-14.077634811401367,6.859705924987793,0.05706916004419327,-0.1963905394077301,0.7349474430084229,10000
13.89340591430664,212.73419189453125,212.74285888671875,212.7255096435547,-220.07693481445312,-212.64492797851562,-13.722648620605469,6.290655612945557,0.061432383954524994,0.5275952816009521,0.7444484829902649,11000
9.968650817871094,221.42758178710938,221.4620361328125,221.39315795898438,-228.8778076171875,-221.3832550048828,-13.766435623168945,6.27187967300415,0.060312747955322266,0.3325788080692291,0.740753710269928,12000
211.18409729003906,228.86685180664062,228.87017822265625,228.86351013183594,-236.56051635742188,-228.7955322265625,-14.085693359375,6.320704936981201,0.05939079821109772,-0.02664715237915516,0.750280499458313,13000
13.592988967895508,236.32852172851562,236.3379669189453,236.31910705566406,-243.91114807128906,-236.265869140625,-14.401358604431152,6.756068229675293,0.05561375617980957,0.0017685879720374942,0.7598592042922974,14000
237.02151489257812,242.62600708007812,242.63177490234375,242.62025451660156,-250.20538330078125,-242.60244750976562,-14.218786239624023,6.615848541259766,0.06256265938282013,0.005191790405660868,0.7672865986824036,15000
15.929366111755371,248.79757690429688,248.81576538085938,248.77940368652344,-256.3742370605469,-248.7477569580078,-14.253275871276855,6.626791477203369,0.056285809725522995,-0.037112120538949966,0.7674834132194519,16000
14.071741104125977,254.99325561523438,254.9946746826172,254.99179077148438,-262.4876708984375,-255.04052734375,-13.597146034240723,6.150000095367432,0.05897948890924454,0.356098473072052,0.7699063420295715,17000
14.879907608032227,260.0858154296875,260.0881042480469,260.0835266113281,-267.9388122558594,-260.1614074707031,-13.237282752990723,5.459857940673828,0.06328490376472473,0.7308194041252136,0.773277223110199,18000
276.3297119140625,265.160888671875,265.165283203125,265.1564636230469,-272.6539306640625,-265.1238708496094,-13.95687484741211,6.426819324493408,0.0581493005156517,0.49754902720451355,0.7837677597999573,19000
15.606977462768555,269.2652587890625,269.30889892578125,269.22161865234375,-276.8944396972656,-269.22064208984375,-14.134979248046875,6.461178302764893,0.0583953931927681,-0.32596850395202637,0.7835934162139893,20000
16.208799362182617,273.32257080078125,273.4425048828125,273.20263671875,-280.498779296875,-273.233642578125,-13.649031639099121,6.383887767791748,0.06118520721793175,0.39500749111175537,0.7905963659286499,21000
18.18927001953125,276.88629150390625,276.8879089355469,276.8846740722656,-284.3798828125,-276.89715576171875,-14.213422775268555,6.730667591094971,0.05781318247318268,0.13510997593402863,0.7899481058120728,22000
16.535011291503906,279.95831298828125,279.979248046875,279.9374084472656,-287.4177551269531,-279.96282958984375,-14.10952377319336,6.654594898223877,0.05648920685052872,0.10031270235776901,0.8001295924186707,23000
16.85056495666504,283.4728088378906,283.4975280761719,283.4480895996094,-290.895751953125,-283.4661560058594,-14.42717170715332,6.997583866119385,0.05648818239569664,-0.16996319591999054,0.7984785437583923,24000
14.623985290527344,285.97198486328125,285.9768981933594,285.967041015625,-293.1958923339844,-286.00250244140625,-13.724225997924805,6.530820846557617,0.0589522048830986,0.3096575140953064,0.7976171374320984,25000
16.31501579284668,288.4419860839844,288.5227966308594,288.3611755371094,-296.0015563964844,-288.3625793457031,-14.80064582824707,7.161668300628662,0.05402621254324913,-0.3613736033439636,0.7980384826660156,26000
16.621212005615234,291.0931396484375,291.0931701660156,291.0931091308594,-298.60107421875,-291.067138671875,-14.533357620239258,6.999410152435303,0.05547348037362099,-0.08693613857030869,0.8057343363761902,27000
15.001733779907227,293.57733154296875,293.57757568359375,293.5771179199219,-301.007080078125,-293.56134033203125,-13.845061302185059,6.399329662322998,0.05896366387605667,0.4928017854690552,0.8051102161407471,28000
17.511268615722656,295.278076171875,295.3703918457031,295.185791015625,-302.66168212890625,-295.1712341308594,-14.218496322631836,6.728061199188232,0.059137336909770966,0.300094336271286,0.8065705299377441,29000
18.128129959106445,297.0941162109375,297.1719055175781,297.01629638671875,-304.44287109375,-297.0567321777344,-14.165245056152344,6.779115200042725,0.057037584483623505,0.10130710899829865,0.8104953765869141,30000
22.210895538330078,298.4614562988281,298.5088195800781,298.4140930175781,-306.0123596191406,-298.40301513671875,-14.625102996826172,7.01575231552124,0.05741173028945923,-0.17585276067256927,0.8138207793235779,31000
17.825424194335938,300.0914306640625,300.20953369140625,299.9733581542969,-307.44964599609375,-300.0125732421875,-14.101219177246094,6.664150714874268,0.06060722470283508,0.2066643387079239,0.8091440200805664,32000
361.9542236328125,301.88421630859375,301.8845520019531,301.8838806152344,-309.10711669921875,-301.8306579589844,-13.854466438293457,6.578001499176025,0.060077156871557236,0.6436855792999268,0.8177096843719482,33000
18.027666091918945,302.98583984375,303.029541015625,302.942138671875,-310.5380859375,-302.96612548828125,-14.52128791809082,6.949349403381348,0.05860292911529541,-0.43524858355522156,0.8138526082038879,34000
15.845014572143555,304.41693115234375,304.4196472167969,304.4142150878906,-311.91357421875,-304.3747253417969,-13.945204734802246,6.406343460083008,0.05827828124165535,-0.12417151033878326,0.8116374015808105,35000
14.136348724365234,304.8610534667969,304.8956604003906,304.8264465332031,-311.8871154785156,-304.8152770996094,-14.135126113891602,7.063288688659668,0.057194843888282776,0.12553629279136658,0.8131462931632996,36000
20.3073787689209,305.8134765625,305.8134765625,305.8134765625,-313.24713134765625,-305.7767028808594,-14.637252807617188,7.166798114776611,0.05628914758563042,-0.14008750021457672,0.8194640874862671,37000
18.23175811767578,306.40081787109375,306.4064025878906,306.3952331542969,-313.8025817871094,-306.43548583984375,-14.565483093261719,7.198395252227783,0.056204549968242645,-0.08337793499231339,0.8233304619789124,38000
18.75784683227539,307.34942626953125,307.34954833984375,307.34930419921875,-314.5746765136719,-307.3754577636719,-13.71888542175293,6.519647598266602,0.06170523911714554,0.7342433333396912,0.8258897662162781,39000
13.649336814880371,307.8474426269531,307.85504150390625,307.83984375,-315.06573486328125,-307.8743591308594,-14.23007583618164,7.038692474365234,0.05486459657549858,0.10913319885730743,0.8233359456062317,40000
12.954668998718262,308.28125,308.2821044921875,308.2803649902344,-315.68865966796875,-308.3335266113281,-14.17106819152832,6.8159565925598145,0.05556362122297287,0.08823522180318832,0.8220359086990356,41000
19.19400405883789,308.95452880859375,308.9557800292969,308.9532470703125,-316.3505554199219,-308.97064208984375,-15.084038734436035,7.7041401863098145,0.05613008514046669,-0.5183864831924438,0.8283119797706604,42000
21.513458251953125,309.16143798828125,309.1634521484375,309.1593933105469,-316.5787658691406,-309.15057373046875,-14.533320426940918,7.105142593383789,0.05795244500041008,0.12137237191200256,0.8310635685920715,43000
17.70291519165039,309.588623046875,309.6263427734375,309.5509338378906,-317.1293640136719,-309.5648498535156,-14.915939331054688,7.351406574249268,0.055987484753131866,-0.27480489015579224,0.832602858543396,44000
19.921794891357422,310.1355895996094,310.1356201171875,310.13555908203125,-317.5965881347656,-310.1036071777344,-15.178022384643555,7.685037612915039,0.054426535964012146,-0.40468400716781616,0.8337163329124451,45000
18.778697967529297,310.59600830078125,310.59613037109375,310.5958557128906,-318.002685546875,-310.5804138183594,-14.8958740234375,7.473605155944824,0.054293688386678696,-0.43965524435043335,0.8292359709739685,46000
17.841358184814453,310.4845886230469,310.4866027832031,310.4825744628906,-317.72210693359375,-310.4541320800781,-14.418109893798828,7.150142192840576,0.055066727101802826,-0.11220921576023102,0.8302750587463379,47000
20.340103149414062,310.81732177734375,310.8226318359375,310.8120422363281,-318.3087158203125,-310.7456970214844,-15.294841766357422,7.731822490692139,0.053965117782354355,-0.9950190782546997,0.8400699496269226,48000
21.160886764526367,311.11297607421875,311.15179443359375,311.0741882324219,-318.6375732421875,-311.0179138183594,-14.724401473999023,7.104732036590576,0.056416723877191544,-0.48404595255851746,0.832409143447876,49000
17.80752944946289,311.0048828125,311.007568359375,311.0021667480469,-318.3907165527344,-310.968017578125,-14.904792785644531,7.482091426849365,0.05521869286894798,-0.5712155103683472,0.8327491283416748,50000
20.630149841308594,311.57867431640625,311.58306884765625,311.5743103027344,-319.0305480957031,-311.56475830078125,-14.566840171813965,7.101044178009033,0.05746157839894295,-0.1417686492204666,0.8366075158119202,51000
398.04290771484375,310.6279296875,311.84674072265625,-309.19451904296875,-316.9659729003906,-309.41387939453125,-14.6400146484375,7.087919235229492,0.05601063743233681,-0.047739606350660324,0.8336381912231445,52000
19.114459991455078,311.75421142578125,311.7543640136719,311.7540283203125,-319.2698669433594,-311.7603759765625,-14.300762176513672,6.79127311706543,0.05717809125781059,0.595747709274292,0.8406262397766113,53000
21.27340316772461,312.03729248046875,312.0613708496094,312.01324462890625,-319.21343994140625,-312.0139465332031,-14.296463012695312,7.096987724304199,0.05602065846323967,0.7119518518447876,0.839063286781311,54000
18.629352569580078,311.69189453125,311.69195556640625,311.6918640136719,-319.43450927734375,-311.7500915527344,-14.424209594726562,6.739821434020996,0.05682716891169548,-0.32932502031326294,0.8385146856307983,55000
19.381595611572266,311.5604553222656,311.574462890625,311.54644775390625,-318.8866271972656,-311.5642395019531,-14.264739990234375,6.942343235015869,0.061731331050395966,0.13175998628139496,0.837479293346405,56000
19.05724334716797,311.65875244140625,311.6610412597656,311.656494140625,-319.0419006347656,-311.71844482421875,-14.51894760131836,7.195501804351807,0.056140925735235214,-0.038622692227363586,0.8386993408203125,57000
21.713497161865234,311.7837219238281,311.78973388671875,311.7777099609375,-319.026611328125,-311.81451416015625,-14.425230026245117,7.213138103485107,0.05955781787633896,-0.2877313494682312,0.8390541076660156,58000
23.03276824951172,311.26959228515625,311.282470703125,311.2567138671875,-318.7037048339844,-311.28192138671875,-14.608603477478027,7.186831951141357,0.05797770619392395,-0.06305433809757233,0.8386524319648743,59000
17.964149475097656,311.38494873046875,311.3909606933594,311.37890625,-318.8330993652344,-311.4022521972656,-14.936847686767578,7.506020545959473,0.05295848101377487,-0.38960495591163635,0.8434550166130066,60000
18.825115203857422,311.48443603515625,311.48614501953125,311.4827575683594,-319.1445617675781,-311.4734191894531,-14.555834770202637,6.88469934463501,0.0557844303548336,0.23586946725845337,0.8387166261672974,61000
1485.32177734375,311.2010498046875,311.2011413574219,311.20098876953125,-318.1956481933594,-311.12261962890625,-14.234329223632812,7.161277770996094,0.05609295889735222,0.2098442167043686,0.841622531414032,62000
21.76250648498535,310.87255859375,310.8755798339844,310.8695068359375,-318.48211669921875,-310.84478759765625,-14.676607131958008,7.039290904998779,0.05785667151212692,-0.10183118283748627,0.839787483215332,63000
19.78951644897461,310.3236083984375,310.4138488769531,310.2333679199219,-317.9727783203125,-310.3116455078125,-14.813835144042969,7.15271520614624,0.05829652026295662,-0.414128839969635,0.8389266133308411,64000
22.625167846679688,310.7715148925781,310.7775573730469,310.7654724121094,-318.1749267578125,-310.7705078125,-14.250329971313477,6.845917224884033,0.056737273931503296,0.27660098671913147,0.844562828540802,65000
23.024757385253906,310.16546630859375,310.1661376953125,310.1648254394531,-317.5462951660156,-310.1956481933594,-14.875165939331055,7.524493217468262,0.054204974323511124,-0.4402749240398407,0.8422899842262268,66000
17.030942916870117,309.8468017578125,309.849853515625,309.84375,-317.490478515625,-309.8965148925781,-14.490442276000977,6.89647912979126,0.05586819350719452,0.029674608260393143,0.838963508605957,67000
783.129150390625,308.8092041015625,310.029296875,-307.0341796875,-315.04583740234375,-307.56451416015625,-14.435957908630371,6.954620361328125,0.05877712741494179,0.22677390277385712,0.8457639217376709,68000
24.164566040039062,309.11767578125,309.1187744140625,309.1165466308594,-316.5207824707031,-309.1171569824219,-14.534847259521484,7.131214618682861,0.057410597801208496,-0.07113704830408096,0.8501158356666565,69000
